time_s,yaw,pitch,roll,label,subject_id,scenario,source_file
0.68,7.119226330085482,19.46782296585071,4.445574776087488,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.7000000000000001,7.119835797338089,19.470447715730636,4.448342389314051,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.72,7.119828110706829,19.470837323708274,4.45161322437917,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.74,7.120779617379365,19.471727246341782,4.454106697070641,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.76,7.12108241649247,19.472722199165702,4.457530501450412,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.78,7.120163421715219,19.47500150248988,4.46178277697733,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.8,7.119994360953598,19.479025115425898,4.464680741397174,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.8200000000000001,7.11791697584646,19.484495369705087,4.468879537894504,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.84,7.115713523398459,19.49140393121431,4.474692827268482,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.86,7.1149084322868745,19.497724717649348,4.47834873086561,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.88,7.113991259432771,19.504575488125635,4.481248420325274,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.9,7.113275429892319,19.510999325632177,4.484022388542241,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.92,7.111894670283711,19.518151486814048,4.4882556630233825,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.9400000000000001,7.109188450573704,19.525112407583094,4.492707133921847,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.96,7.105226112962113,19.530064689791462,4.497900556925063,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
0.98,7.102451396173615,19.53169424737271,4.501675809726338,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.0,7.098865203227528,19.53003911451923,4.504358097995312,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.02,7.097251185633074,19.527327499739265,4.50378855797505,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.04,7.099445354851168,19.52232287941655,4.49897956897806,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.06,7.101653217794604,19.519559973095113,4.495619134407496,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.08,7.10404950202931,19.518580302474998,4.4935315926900845,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.1,7.106154332546041,19.519406499437597,4.493545908460716,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.12,7.107244945051255,19.51889395251935,4.495606803931828,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.1400000000000001,7.104892280082426,19.519407674505548,4.504782563835574,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.16,7.101776814828737,19.51939429259759,4.5138243287516415,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.18,7.096514366309319,19.517785565886832,4.5238839797846575,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
1.2,7.094035001630876,19.515733812910646,4.5313698912303515,0,austra,NG - marche normale,xsens_imu_data_segment_registered_austra_ng.csv
